unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z
1765412129935,14549,0,1.25,0.5,4803.845,101.1868,0.2016554,2927.229,101.186,0.2016552,2800.422,101.1862,0.2016552
1765412129945,14550,0,1.25,0.5,4812.159,99.77252,0.2012694,2931.593,99.77263,0.2012694,2804.543,99.77252,0.2012694
1765412129952,14551,0,1.25,0.5,4817.892,99.06075,0.2010005,2934.606,99.06059,0.2010005,2807.385,99.06075,0.2010005
1765412129965,14552,0,1.25,0.5,4822.544,98.54169,0.2007847,2937.049,98.54158,0.2007846,2809.692,98.54211,0.2007847
1765412129979,14553,0,1.25,0.5,4828.38,98.22351,0.2005101,2940.116,98.22351,0.2005101,2812.585,98.22298,0.2005101
1765412129993,14554,0,1.25,0.5,4832.338,97.82703,0.2003178,2942.198,97.82703,0.2003178,2814.544,97.82713,0.2003178
1765412130007,14555,0,1.25,0.5,4839.907,98.03463,0.1999621,2946.176,98.03474,0.1999621,2818.296,98.03447,0.1999621
1765412130020,14556,0,1.25,0.5,4843.062,98.32689,0.1998193,2947.833,98.32689,0.1998193,2819.861,98.32726,0.1998193
1765412130034,14557,0,1.25,0.5,4844.787,99.21548,0.1997459,2948.738,99.2158,0.1997458,2820.718,99.21596,0.1997459
1765412130048,14558,0,1.25,0.5,4841.841,101.4821,0.1998987,2947.184,101.4818,0.1998987,2819.262,101.4818,0.1998987
1765412130061,14559,0,1.25,0.5,4840.146,104.4988,0.1999955,2946.288,104.4988,0.1999955,2818.428,104.4988,0.1999955
1765412130075,14560,0,1.25,0.5,4833.344,108.6854,0.2003361,2942.706,108.6849,0.2003361,2815.064,108.6849,0.2003362
1765412130089,14561,0,1.25,0.5,4823.624,115.8528,0.2008372,2937.584,115.8528,0.2008372,2810.26,115.8534,0.2008372
1765412130103,14562,0,1.25,0.5,4800.958,126.8892,0.2019775,2925.652,126.8892,0.2019775,2799.047,126.8892,0.2019775
