unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z,video_x,video_y
1765412133805,14828,0.0,1.25,0.5,842.9646,728.7111,0.5690673,863.9814,728.711,0.5690672,819.046,728.7112,0.5690672,1413.6302124225367,1036.0247867332034
1765412133846,14831,0.0,1.25,0.5,844.6854,697.9067,0.5654769,865.0026,697.9067,0.5654769,819.7819,697.9067,0.5654769,1417.5942771610767,1096.9924772499548
1765412133874,14833,0.0,1.25,0.5,847.32,671.8243,0.5621693,866.4808,671.8243,0.5621694,820.994,671.8242,0.5621693,1423.3298946883542,1148.61503500097
1765412133916,14836,0.0,1.25,0.5,853.2235,621.3211,0.5547246,869.8002,621.3208,0.5547246,823.7029,621.3209,0.5547246,1436.2085659427428,1248.572404252537
1765412133943,14838,0.0,1.25,0.5,857.1125,577.7946,0.5473339,872.097,577.7946,0.5473339,825.3773,577.7944,0.5473338,1445.120854787566,1334.7197951314172
1765412133971,14840,0.0,1.25,0.5,859.2597,531.9956,0.5389366,873.5573,531.9954,0.5389367,826.1096,531.9954,0.5389366,1450.789633706839,1425.3652639940688
1765412134013,14843,0.0,1.25,0.5,857.9301,459.3109,0.5243858,873.5367,459.3111,0.5243858,824.7725,459.3109,0.5243859,1450.7192413689393,1569.2199258414298
1765412134041,14845,0.0,1.25,0.5,850.7921,416.8572,0.5156214,870.3067,416.8571,0.5156214,820.7136,416.857,0.5156215,1438.1993865754685,1653.2414288389346
1765412134082,14848,0.0,1.25,0.5,829.7323,369.3817,0.5058538,860.033,369.3817,0.5058538,809.4822,369.3817,0.5058538,1398.365900000095,1747.196273238434
1765412134110,14850,0.0,1.25,0.5,809.9855,346.6701,0.5010781,850.1917,346.6699,0.5010781,799.1592,346.6699,0.5010781,1360.2059545231677,1792.1400116462783
1765412134138,14852,0.0,1.25,0.5,789.0688,334.226,0.4984537,839.6466,334.2262,0.4984537,788.3454,334.2262,0.4984537,1319.3154498705526,1816.760935343133
1765412134180,14855,0.0,1.25,0.5,757.9178,327.7616,0.4968761,823.8232,327.7614,0.4968761,772.3592,327.7611,0.4968761,1257.9558022000406,1829.5449434193233
1765412134208,14857,0.0,1.25,0.5,739.7424,327.6087,0.4964626,814.5649,327.6085,0.4964626,763.0579,327.6087,0.4964626,1222.0536872544671,1829.8411587705398
1765412134249,14860,0.0,1.25,0.5,721.7421,332.4607,0.4972362,805.3344,332.4607,0.4972362,753.9075,332.4607,0.4972362,1186.2587224887059,1820.2314433705433
1765412134277,14862,0.0,1.25,0.5,716.3723,334.2995,0.4975523,802.5764,334.2993,0.4975523,751.1823,334.2993,0.4975522,1175.5634208855417,1816.5906326238742
1765412134305,14864,0.0,1.25,0.5,715.5818,335.1076,0.4978088,802.1596,335.1076,0.4978088,750.7919,335.1076,0.4978088,1173.9470348305301,1814.990580392471
1765412134346,14867,0.0,1.25,0.5,718.7363,336.429,0.4985145,803.7338,336.429,0.4985145,752.4388,336.4292,0.4985145,1180.051345912497,1812.3763917053302
1765412134375,14869,0.0,1.25,0.5,723.0587,337.4496,0.4991865,805.9062,337.4493,0.4991865,754.6802,337.4491,0.4991865,1188.4754156017812,1810.3585449924922
1765412134416,14872,0.0,1.25,0.5,731.5613,339.4178,0.5003867,810.1859,339.4178,0.5003867,759.0828,339.4178,0.5003867,1205.071117511429,1806.4655048118493
1765412134444,14874,0.0,1.25,0.5,738.3052,340.1785,0.50116,813.5897,340.1787,0.50116,762.5655,340.1787,0.50116,1218.270383784015,1804.96190634113
1765412134472,14876,0.0,1.25,0.5,745.2899,341.9727,0.5021793,817.1041,341.9727,0.5021793,766.1834,341.9729,0.5021793,1231.8984034098487,1801.4137025172115
1765412134513,14879,0.0,1.25,0.5,755.8557,346.871,0.5041476,822.3993,346.8712,0.5041476,771.6774,346.8712,0.5041476,1252.4316614391387,1791.7223925850585
1765412134541,14881,0.0,1.25,0.5,763.0613,350.5866,0.5054412,826.0134,350.5868,0.5054412,775.4213,350.5868,0.5054412,1266.4460500269904,1784.3710822273024
1765412134582,14884,0.0,1.25,0.5,771.4228,357.3071,0.5073223,830.1887,357.3069,0.5073223,779.7843,357.3069,0.5073222,1282.6362857862166,1771.0737398194096
1765412134610,14886,0.0,1.25,0.5,775.8212,365.1156,0.5093536,832.3339,365.1158,0.5093536,782.1305,365.1156,0.5093535,1290.9539919912752,1755.620072431058
1765412134638,14888,0.0,1.25,0.5,779.205,373.5976,0.5114855,833.9569,373.5976,0.5114856,783.9628,373.5976,0.5114856,1297.2466062957767,1738.8342597378191
1765412134680,14891,0.0,1.25,0.5,782.0739,385.7922,0.5142474,835.2875,385.792,0.5142473,785.5618,385.792,0.5142473,1302.404857645933,1714.7003737769924
1765412134708,14893,0.0,1.25,0.5,783.1698,395.2045,0.5164183,835.7425,395.2045,0.5164184,786.2258,395.2045,0.5164184,1304.1680422784727,1696.0717390150382
1765412134749,14896,0.0,1.25,0.5,784.7009,406.0121,0.5187899,836.411,406.0118,0.5187899,787.1207,406.0118,0.5187898,1306.758961979104,1674.6827037938203
1765412134777,14898,0.0,1.25,0.5,785.2245,412.774,0.5203338,836.6052,412.7738,0.5203338,787.4612,412.774,0.5203338,1307.511154042547,1661.299682119156
1765412134805,14900,0.0,1.25,0.5,785.6741,419.2618,0.5219108,836.7605,419.2616,0.5219109,787.765,419.2618,0.5219109,1308.1125342336109,1648.4593223080506
1765412134847,14903,0.0,1.25,0.5,786.8245,426.1152,0.5236477,837.2667,426.1152,0.5236477,788.4336,426.1148,0.5236477,1310.0745980179734,1634.8952242223195
1765412134874,14905,0.0,1.25,0.5,787.8239,431.0451,0.524891,837.7191,431.0451,0.524891,789.0018,431.0453,0.524891,1311.8282856177373,1625.1384206590544
1765412134916,14908,0.0,1.25,0.5,789.4265,443.3544,0.527849,838.4008,443.3541,0.527849,789.9565,443.3542,0.527849,1314.4701966151588,1600.7772731129062
